X, logarithmEquation(x)
1.0, NaN
1.1, 5.34695003460208
1.2000000000000002, 5.300306621825272
1.3000000000000003, 5.217983450293136
1.4000000000000004, 5.108450059070141
1.5000000000000004, 4.978072343823363
1.6000000000000005, 4.8317139527041295
1.7000000000000006, 4.673139677168934
1.8000000000000007, 4.5052597132264
1.9000000000000008, 4.330427937020593
2.000000000000001, 4.15043265828072
2.100000000000001, 3.9667899931468096
2.200000000000001, 3.7806688667703447
2.300000000000001, 3.593026126315986
2.4000000000000012, 3.404638941395361
2.5000000000000013, 3.2161373428336404
2.6000000000000014, 3.0280382923642426
2.7000000000000015, 2.8407570012115455
2.8000000000000016, 2.654642731869883
2.9000000000000017, 2.4699602532864886
3.0000000000000018, 2.2869499711314942
3.100000000000002, 2.105787380937869
3.200000000000002, 1.926618328420386
3.300000000000002, 1.749577422714348
3.400000000000002, 1.5747258323737974
3.500000000000002, 1.402146073427251
3.6000000000000023, 1.2318739520920978
3.7000000000000024, 1.0640085224978124
3.8000000000000025, 0.8985119673232198
3.9000000000000026, 0.7354219739869388
4.000000000000003, 0.5747120423787804
4.100000000000002, 0.4164450424769255
4.200000000000002, 0.26058371314722173
4.300000000000002, 0.10711622855008773
4.400000000000001, -0.043972843603905964
4.500000000000001, -0.19270344781086735
4.6000000000000005, -0.3390990567422021
4.7, -0.4831835282045578
4.8, -0.6249824873415868
4.8999999999999995, -0.7645261998860358
4.999999999999999, -0.9018461108775
5.099999999999999, -1.03697027135639
5.199999999999998, -1.1699277598039348
5.299999999999998, -1.300754683069206
5.399999999999998, -1.4294871430938851
5.499999999999997, -1.5561513672027836
5.599999999999997, -1.6807740146101162
5.699999999999997, -1.8034063126431708
5.799999999999996, -1.9240679537573468
5.899999999999996, -2.042781495282565
5.999999999999996, -2.1596096516582763
6.099999999999995, -2.2745475283280765
6.199999999999995, -2.387664487187563
6.2999999999999945, -2.4989502338631846
6.399999999999994, -2.6084838571668163
6.499999999999994, -2.716253112516452
6.599999999999993, -2.822290128256398
6.699999999999993, -2.926654051670635
6.799999999999993, -3.029356807453655
6.899999999999992, -3.1304477337844387
6.999999999999992, -3.2298982135798413
7.099999999999992, -3.3278106435308548
7.199999999999991, -3.424154699780919
7.299999999999991, -3.518973092562079
7.399999999999991, -3.6122705471003753
7.49999999999999, -3.7041205887293023
7.59999999999999, -3.7945225892339947
7.6999999999999895, -3.8835316106379096
7.799999999999989, -3.971082621831167
7.899999999999989, -4.057320796980972
7.9999999999999885, -4.142174832821004
8.099999999999989, -4.225698058592285
8.199999999999989, -4.307913083420775
8.299999999999988, -4.388841463141573
8.399999999999988, -4.468504237593557
8.499999999999988, -4.546922074381097
8.599999999999987, -4.6241152214971395
8.699999999999987, -4.700103049364786
8.799999999999986, -4.774905436796632
8.899999999999986, -4.848541133266479
8.999999999999986, -4.921028673858885
9.099999999999985, -4.992387041726879
9.199999999999985, -5.062632958297525
9.299999999999985, -5.13178433772997
9.399999999999984, -5.199858305969019
9.499999999999984, -5.26687165420902
9.599999999999984, -5.332838841566231
9.699999999999983, -5.39777881444916
9.799999999999983, -5.46170605280643
9.899999999999983, -5.524635906447671
9.999999999999982, -5.586585996884035
