X, Log3(x)
1.0, -0.0
1.1, 0.08675480374953627
1.2000000000000002, 0.16595571331600173
1.3000000000000003, 0.23881344571427965
1.4000000000000004, 0.30626900789179473
1.5000000000000004, 0.3690697791483416
1.6000000000000005, 0.42781557307071116
1.7000000000000006, 0.48299594169658727
1.8000000000000007, 0.5350266449014859
1.9000000000000008, 0.5842370344264648
2.000000000000001, 0.6309302208516591
2.100000000000001, 0.6753408171406926
2.200000000000001, 0.7176850246011953
2.300000000000001, 0.7581466843120819
2.4000000000000012, 0.7968859341676608
2.5000000000000013, 0.8340437230382677
2.6000000000000014, 0.8697436665659386
2.7000000000000015, 0.9040966038771552
2.8000000000000016, 0.9371992287434538
2.9000000000000017, 0.969141615330882
3.0000000000000018, 1.0000000000000007
3.100000000000002, 1.029846612283064
3.200000000000002, 1.0587457939223701
3.300000000000002, 1.0867530111104313
3.400000000000002, 1.1139261625482464
3.500000000000002, 1.1403118001126789
3.6000000000000023, 1.1659568657531445
3.7000000000000024, 1.1908930155066686
3.8000000000000025, 1.2151672552781239
3.9000000000000026, 1.2388108335561199
4.000000000000003, 1.2618604417033181
4.100000000000002, 1.2843365601309156
4.200000000000002, 1.3062710379923512
4.300000000000002, 1.327689381468789
4.400000000000001, 1.3486152454528537
4.500000000000001, 1.3690708178139708
4.6000000000000005, 1.3890769051637404
4.7, 1.4086527015636572
4.8, 1.427816155019319
4.8999999999999995, 1.4465845048222403
4.999999999999999, 1.4649739438899256
5.099999999999999, 1.4829991298170861
5.199999999999998, 1.5006738874175964
5.299999999999998, 1.5180120944727387
5.399999999999998, 1.535026824728813
5.499999999999997, 1.5517291247890825
5.599999999999997, 1.5681294495951115
5.699999999999997, 1.5842408876536211
5.799999999999996, 1.6000718361825397
5.899999999999996, 1.6156305819716634
5.999999999999996, 1.630930220851658
6.099999999999995, 1.6459745800936383
6.199999999999995, 1.6607768331347212
6.2999999999999945, 1.675339383064576
6.399999999999994, 1.6896760147740273
6.499999999999994, 1.7037882707751903
6.599999999999993, 1.7176832319620887
6.699999999999993, 1.7313712795770986
6.799999999999993, 1.7448563833999036
6.899999999999992, 1.7581472199114145
6.999999999999992, 1.7712420209643356
7.099999999999992, 1.7841560898334565
7.199999999999991, 1.7968870866048017
7.299999999999991, 1.8094421457198073
7.399999999999991, 1.821823236358326
7.49999999999999, 1.8340413378455744
7.59999999999999, 1.846097476129781
7.6999999999999895, 1.8579999937339924
7.799999999999989, 1.8697410544077764
7.899999999999989, 1.8813409066361089
7.9999999999999885, 1.8927906625549735
8.099999999999989, 1.9040980950881496
8.199999999999989, 1.9152667809825725
8.299999999999988, 1.9263000893470814
8.399999999999988, 1.9372012588440082
8.499999999999988, 1.9479734218562252
8.599999999999987, 1.958619602320446
8.699999999999987, 1.9691426560868124
8.799999999999986, 1.979545466304511
8.899999999999986, 1.989830720217429
8.999999999999986, 2.0000010386656277
9.099999999999985, 2.0100590730400656
9.199999999999985, 2.020007126015398
9.299999999999985, 2.0298476403398666
9.399999999999984, 2.039582922415314
9.499999999999984, 2.049215208208439
9.599999999999984, 2.0587463758709763
9.699999999999983, 2.0681789329537024
9.799999999999983, 2.0775147256738973
9.899999999999983, 2.0867557098754
9.999999999999982, 2.095904164741583
